Quantity Sold (units),Product Category,Month,Average Temperature (¡C),Monthly Precipitation (mm),Route (ID),Route Distance (km),Average Transit Time (hrs),Cost per Kilometer ($),Traffic Conditions
462,Fresh,11,34.34,69.08,6,43.48,2.67,8.42,Low
556,Fresh,11,21.91,18.08,3,6.34,2.5,8.38,Low
562,Refrigerated,11,17.27,56.93,6,45.52,2.86,13.12,Low
523,Fresh,11,30.24,35.96,6,43.21,2.58,13.9,Low
584,Fresh,11,34.49,84.82,2,42.65,2.91,11.08,Low
518,Fresh,11,18.59,74.61,1,22.35,1.98,13.1,Moderate
539,Fresh,11,31.64,53.21,8,49.5,3.82,11.55,Low
453,Fresh,11,21.59,67.85,4,45,4.14,11.47,High
524,Refrigerated,11,21.23,95.5,8,16.25,3.85,11.08,Moderate
547,Fresh,11,34.72,82.89,4,13.8,1.85,8.37,High
499,Refrigerated,11,25.92,98.1,9,17.72,2.36,12.37,Low
471,Fresh,11,33.22,78.72,5,41.02,2.63,10.55,Moderate
485,Refrigerated,11,30.06,56.05,2,21.81,1.15,13.5,Low
507,Fresh,11,23.04,49.05,7,7.54,2.32,8.87,High
452,Refrigerated,11,24.7,86.71,10,20.94,3.09,8.29,Low
520,Fresh,11,23.47,14.36,3,24.6,4.11,10.48,Moderate
572,Refrigerated,11,27.56,65.39,5,18.83,2.73,8.39,Low
585,Fresh,11,15.6,67.95,9,19.73,1.67,10.26,Low
532,Refrigerated,11,20.75,89.69,9,48.28,2.77,14.33,High
541,Refrigerated,11,34.2,47.86,1,44.99,2.97,10.1,Low
481,Fresh,11,28.8,66.74,5,30.21,2.4,8.14,Low
510,Refrigerated,11,23.25,21.66,3,19.97,3.75,10.67,High
556,Fresh,11,22.37,87.23,8,29.84,4.13,10.51,High
462,Fresh,11,23.51,95.98,10,23.72,2.4,9.89,Low
513,Fresh,11,19.23,14.69,2,17.31,3.07,11.24,Moderate
537,Fresh,11,26.38,8.37,2,39.73,2.92,13.44,Moderate
527,Fresh,11,33.95,40.38,7,7.7,3.1,10.75,High
581,Fresh,11,22.3,98.06,6,35.92,3.88,14.52,Low
464,Refrigerated,11,28.35,92.26,8,23.76,1.47,10.91,Moderate
527,Fresh,11,19.02,30.27,6,15.42,4.62,14.24,Low
521,Refrigerated,11,26.2,75.25,10,44.41,2.67,11.49,High
553,Fresh,11,16.27,81.36,8,15.51,4.47,10.92,Low
553,Fresh,11,15.2,10.62,6,47.09,1.03,8.92,High
488,Fresh,11,30.11,5.37,9,48.18,2.37,14.31,Low
571,Refrigerated,11,16.72,65.46,7,18.15,3.04,12.38,Moderate
527,Refrigerated,11,17.01,60.53,6,24.88,4.93,9.36,Low
468,Refrigerated,11,32.64,93.82,3,9.91,3.29,10.45,Moderate
575,Fresh,11,34.55,47.27,3,19.33,4.79,9.23,Moderate
495,Fresh,11,16.82,48.34,7,14.76,1.36,11.74,High
599,Refrigerated,11,34.81,11.96,8,33.6,2.26,11.53,Low
518,Fresh,11,30.56,15.45,1,46.02,3.07,12.02,High
529,Fresh,11,31.81,35.71,4,8.37,3.55,12.9,Low
534,Refrigerated,11,25.21,49.38,9,13.37,4.65,9.93,High
545,Refrigerated,11,21.84,29.88,5,39.62,2.32,14.09,Low
485,Fresh,11,33.18,94.19,8,46.52,2.71,8.45,Low
537,Fresh,11,34.73,14.49,4,38.47,3.54,11.57,Moderate
483,Fresh,11,27.05,77.7,1,24.39,3.37,12.48,Moderate
563,Refrigerated,11,22.73,87.21,5,35.42,2.87,9,High
459,Refrigerated,11,30.12,37.66,5,6.07,4.39,13.33,Moderate
490,Refrigerated,11,28.01,91.15,2,40.4,4.11,9.99,High
500,Fresh,11,34.55,80.45,3,18.99,1.98,11.36,High
494,Fresh,11,21.85,79.05,3,41.12,1.05,8.38,Low
534,Fresh,11,29.14,67.59,1,12.11,2.44,10.18,High
532,Fresh,11,34.97,52.08,8,10.53,1.18,14.34,Moderate
507,Fresh,11,29.67,12.68,2,22.03,4.16,14.59,Low
515,Fresh,11,22.66,85.47,1,10.28,3.69,10.19,High
472,Fresh,11,28.92,7.9,9,36.34,2.98,8.14,Low
497,Refrigerated,11,23.15,37.48,8,18.01,3.28,11.77,Moderate
544,Fresh,11,34.43,90.12,10,45.33,4.47,13.73,Low
595,Fresh,11,34.67,98.55,3,34.43,4.96,11.83,Moderate
562,Fresh,11,19.58,30.72,3,25.01,2.41,13.11,Low
521,Refrigerated,11,21.57,27.27,2,15.32,4.54,9.73,Low
506,Fresh,11,21.27,74.98,1,15.16,2.45,10.54,Low
465,Refrigerated,11,34.97,82.24,5,17.45,2.03,13.63,Low
589,Fresh,11,23.67,60.37,7,15.64,4.98,12.94,Moderate
470,Fresh,11,26.43,95.01,7,42.63,2.42,10.02,High
559,Fresh,11,30.83,36.91,2,22.45,4.49,13.95,Low
565,Fresh,11,28.36,96,1,21.76,4.26,14.94,High
515,Fresh,11,33.28,49.05,1,21.8,3.9,13.91,Moderate
511,Refrigerated,11,32.56,12.88,5,5.69,4.43,11.57,Moderate
592,Refrigerated,11,33.73,60.62,5,20.84,3.33,10.15,Low
464,Refrigerated,11,26.07,63.84,8,11.66,2.36,13.56,Low
508,Refrigerated,11,30.48,48.12,4,23.73,1.63,12.99,Low
524,Refrigerated,11,27.51,88.03,9,39.57,2.89,12.74,Low
477,Refrigerated,11,33.44,44.96,2,12.21,1.51,9.42,Low
579,Refrigerated,11,17.23,20.41,10,31.69,3.09,10.26,Moderate
570,Refrigerated,11,24.91,87.01,4,9.42,4.67,8.1,Moderate
529,Refrigerated,11,22.49,58.05,3,44.43,2.88,13.7,Moderate
475,Refrigerated,11,16.71,37.08,7,25.2,3.54,10.3,High
498,Refrigerated,11,22.35,75.64,7,44.53,4.61,13.45,Low
490,Refrigerated,11,24.68,8.05,9,10.65,4.75,13.7,Low
598,Fresh,11,20.68,63.46,7,34.81,2.87,9.06,Moderate
491,Fresh,11,24.93,97.38,8,29.43,3.37,14.73,Low
561,Fresh,11,33.86,12.78,4,47.1,1.95,14.76,Moderate
516,Refrigerated,11,28.67,42.49,6,42.19,3.6,11.3,High
552,Fresh,11,24.21,50,6,34.18,1.6,13.23,Low
482,Fresh,11,16.31,43.1,2,45.61,1.72,13.02,High
551,Refrigerated,11,25.91,72.34,2,38.55,1.01,10.21,Moderate
554,Fresh,11,16.68,8.1,7,9.53,1.47,12.42,Moderate
590,Fresh,11,26.92,25.44,9,46.27,3.84,12.09,Moderate
533,Fresh,11,17.52,4.1,9,14.8,1.63,10.33,Moderate
470,Fresh,11,17.42,11.6,10,15.58,4,14.98,Low
506,Fresh,11,17.42,65.01,10,38.24,4.75,10.34,Moderate
585,Refrigerated,11,26.45,36.33,2,9.92,1.55,10.3,High
526,Refrigerated,11,20.02,23.13,6,18.06,2.47,10.8,Moderate
460,Refrigerated,11,33.8,1.92,10,8.33,4.99,14.57,Moderate
497,Refrigerated,11,26.76,63.94,6,40.88,1.69,8.88,Moderate
556,Fresh,11,19.48,8.66,10,30.31,1.95,9.87,Moderate
596,Refrigerated,11,20.26,35.23,7,10,1.73,14.71,Moderate
473,Fresh,11,23.56,60.68,7,41.22,2.23,13.43,Low
533,Fresh,11,30.08,61.22,10,45.78,1.45,14.22,Moderate
490,Fresh,11,17.73,55.7,3,26.13,4.1,9.89,High
457,Fresh,11,26.26,24.3,3,36.96,3.1,11.33,Low
578,Fresh,11,20.65,84.41,2,35.52,3.16,10.27,Moderate
524,Fresh,11,28.14,98.5,2,14.02,4.48,10.85,Low
540,Fresh,11,34.52,50.8,4,24.01,2.89,10.4,Moderate
564,Refrigerated,11,27.74,84.78,3,47.98,3.86,8.46,Low
483,Refrigerated,11,28.35,80.26,10,9.77,1.02,14.08,Moderate
580,Fresh,11,23.68,36.7,5,21.87,1.87,10.65,Moderate
520,Refrigerated,11,25.97,24.05,5,12.11,3.65,9.76,Moderate
470,Fresh,11,22.55,21.42,1,40.41,2.6,13.15,Low
569,Fresh,11,32.91,38.47,1,11.2,1.56,9.15,Low
483,Refrigerated,11,34.95,42.24,6,16.04,1.74,13.11,Low
595,Fresh,11,15.44,1.13,5,24.38,3.96,10.07,High
506,Fresh,11,24.6,71.54,9,8.31,3.72,12.08,Moderate
471,Fresh,11,34.72,21.17,7,13.22,1.75,8.48,Moderate
502,Fresh,11,30.07,67.52,3,39.63,3.27,11.06,Low
461,Fresh,11,20.56,94.73,5,31.27,3.07,10.64,Moderate
499,Fresh,11,19.04,42.2,10,10.85,4.4,11.13,Low
532,Fresh,11,16.45,12.89,2,16.72,2.81,13.35,Moderate
494,Fresh,11,16.04,23.34,10,12.14,4.34,10.88,Moderate
483,Fresh,11,27.29,58.44,7,18.41,2.83,8.54,Low
488,Fresh,11,26.48,77.3,10,25.81,3.53,12.57,High
595,Refrigerated,11,32.5,4.37,5,32.63,4.12,8.9,Moderate
559,Fresh,11,27.63,0.56,8,49.69,1.81,11.94,Low
571,Refrigerated,11,17.12,18.44,6,44.87,2.13,8.99,Low
495,Fresh,11,30.65,85.73,4,11.7,2.16,9.94,High
583,Fresh,11,31.36,19.29,5,41.65,1.95,9.23,Moderate
550,Fresh,11,17.12,81.22,9,32.76,3.95,13.75,Low
581,Refrigerated,11,22.98,16.04,2,30.49,3.5,11.13,Moderate
544,Refrigerated,11,32.62,2.54,9,26.95,2.65,8.78,Moderate
454,Fresh,11,29.12,92.63,9,21.47,3.42,13.96,Low
597,Fresh,11,23.11,76,2,11.44,2.26,9.6,Moderate
521,Fresh,11,34.87,56.3,10,31.38,2.47,14.54,Moderate
572,Refrigerated,11,33.17,32.81,5,44.81,3.12,11.82,Moderate
454,Fresh,11,26.15,95.5,8,35.86,4.14,9.71,Low
564,Fresh,11,16.71,36.92,3,39.18,1.78,13.66,High
555,Refrigerated,11,18.9,74.45,5,8.77,3.96,8.41,Low
483,Fresh,11,15.79,23.27,5,12.73,3.04,11.55,High
520,Fresh,11,28.95,0.98,9,38.68,2.13,12.48,Low
505,Fresh,11,20.17,88.46,6,43.3,2.85,13.91,Moderate
573,Refrigerated,11,21.11,54.94,3,26.86,3.8,9.91,Low
552,Refrigerated,11,17.51,52.82,3,42,1.27,8.96,Low
580,Fresh,11,24.24,36.78,2,18.13,1.26,10.7,Low
528,Refrigerated,11,23.14,31.54,8,22.65,3.14,14.36,Moderate
573,Fresh,11,32.83,29.88,3,7.79,1.87,10.96,Moderate
556,Fresh,11,21.47,88.75,5,17.58,2.67,14.55,Moderate
459,Fresh,11,28.45,33.2,2,5.38,4.47,9.51,Low
502,Refrigerated,11,31.87,49.9,1,48.76,3.33,14.59,Low
484,Refrigerated,11,31.73,24.93,6,5.5,3.72,10.8,High
480,Fresh,11,21.83,97.38,9,6.29,1.79,8.27,Low
507,Refrigerated,11,33.75,28.17,8,28.12,3.43,14.16,Low
543,Fresh,11,32.35,10.76,1,48.88,3.18,8.55,Low
475,Fresh,11,28.24,74.16,5,12.58,3.81,8.6,High
537,Fresh,11,15.44,98.68,4,46.14,4.04,14.68,Low
540,Fresh,11,29.39,18.76,2,18,2.32,8.79,Low
519,Fresh,11,18.02,4.99,8,25.21,2.13,12.67,Low
581,Fresh,11,15.99,20.87,4,18.03,3.22,14.96,High
475,Refrigerated,11,28.65,92.24,8,11.38,1.71,14.96,High
558,Fresh,11,18.63,7.78,10,46.22,2.84,14.93,Moderate
547,Refrigerated,11,22.04,13.54,9,36.57,3.99,11.63,Low
481,Refrigerated,11,21.69,38.36,8,33.73,1.55,12.61,High
557,Fresh,11,29.51,14.73,9,14.28,1.31,10.48,Low
582,Refrigerated,11,23.75,84.88,9,37.51,2.49,8.34,Low
450,Refrigerated,11,16.23,89.54,7,14.4,4.97,13.51,Low
554,Refrigerated,11,18.43,3.58,8,36.96,4.31,12.83,Low
579,Fresh,11,21.21,36.42,9,5.85,1.02,10.59,Moderate
576,Fresh,11,20.63,83.31,8,16.57,4.53,13.75,Low
503,Fresh,11,28.59,67.85,9,14.33,2.32,10.5,Low
554,Refrigerated,11,19.55,3.58,5,34.1,2.5,12.31,High
471,Fresh,11,29.98,4.34,5,31.28,4.8,11.89,High
586,Refrigerated,11,27.37,16.03,1,15.52,2.04,12.41,High
480,Refrigerated,11,22.84,38.52,2,18.47,1.74,13.46,High
465,Refrigerated,11,18.71,44.73,3,12.98,3.65,13.45,High
474,Fresh,11,22.81,64.48,4,41.31,1.89,10.49,High
596,Fresh,11,28.67,78.39,1,40.58,2.02,12.64,High
569,Refrigerated,11,15.86,49.32,1,44.33,4.58,14.87,Moderate
484,Refrigerated,11,26.68,94.8,7,34.27,2.04,8.13,Moderate
583,Refrigerated,11,15.89,31.6,10,44.19,1.5,8.69,Moderate
571,Fresh,11,30.25,54.04,4,26.21,2.46,10.13,High
578,Refrigerated,11,20.43,44.78,10,9.96,4.86,8.33,Low
576,Fresh,11,33.66,99.21,1,42.21,3.77,9.99,High
560,Refrigerated,11,27.44,92.67,10,45.06,1.23,10.93,Low
468,Fresh,11,28.5,59.38,9,39.04,4.57,12.8,High
474,Fresh,11,17.59,47.99,10,23.89,2.72,13.14,Moderate
579,Refrigerated,11,30.18,82.25,3,47.21,4.9,13.44,Low
494,Fresh,11,20.58,80.58,2,20.18,3.17,8.55,Moderate
464,Fresh,11,33.65,32.66,1,29.27,2.89,12.42,Moderate
552,Fresh,11,33.36,32.46,1,9.44,2.34,8.77,Low
516,Refrigerated,11,26.57,49.61,8,24.67,3.45,11.58,Low
552,Fresh,11,21.57,28.71,4,43.96,3.73,13.71,Moderate
546,Fresh,11,30.27,26.53,10,9.69,1.71,8.32,Moderate
560,Fresh,11,15.94,22.34,3,44.95,4.3,8.66,Moderate
589,Fresh,11,26.46,90.45,5,48.25,1.99,14.4,High
481,Refrigerated,11,33.96,36.89,7,32.95,1.87,12.82,Moderate
558,Fresh,11,21.48,57.58,4,46.06,3.92,9.13,Low
490,Fresh,11,20.22,45.32,7,6.42,2.78,11.44,Moderate
505,Fresh,11,31.98,5.79,7,10.49,3.95,11.92,Moderate
549,Fresh,11,29.32,71.47,7,12.46,3.59,14.22,Moderate
594,Fresh,11,15.89,51.52,5,13.85,2.48,10.73,Moderate
522,Fresh,11,24.4,31.63,4,16.7,4.02,9.32,Low
475,Fresh,11,34.76,41.14,6,34.18,1.71,10.6,Low
584,Fresh,11,15.16,23.82,1,22.82,2.31,10.67,Moderate
505,Fresh,11,31.94,35.78,10,46.37,3.83,14.58,Low
508,Fresh,11,34.61,73.14,3,35.67,3.63,12.02,Low
491,Refrigerated,11,17.5,77.04,4,20.59,3.91,12.91,Low
496,Refrigerated,11,18.49,61.45,9,14.52,3.97,14.77,Low
519,Fresh,11,19.57,91.91,9,32.59,2.73,8.7,Low
568,Fresh,11,19.8,17.49,9,15.85,2.63,13.92,Moderate
459,Fresh,11,20.94,52.82,3,36.02,4.11,8.57,Low
583,Fresh,11,28.91,69.37,8,30.05,1.81,9.74,Moderate
591,Refrigerated,11,18.61,7.41,3,21.76,3.52,13.37,Moderate
502,Fresh,11,29.16,25.28,6,5.09,1.83,11.35,Low
504,Refrigerated,11,32.59,67.11,1,48.16,2.64,13.46,Low
599,Fresh,11,16.23,98.35,8,39.1,2.21,13.15,Low
563,Fresh,11,30.62,52.3,9,43.76,2.29,11.81,Moderate
595,Fresh,11,16,88.73,5,47.62,3.51,11.04,Moderate
499,Refrigerated,11,31.42,25.48,2,29.1,1.68,11.15,Low
554,Fresh,11,15.22,50.3,10,26.8,2.95,14.62,Moderate
519,Fresh,11,22.56,9.01,8,36.59,1.94,9.43,Moderate
465,Refrigerated,11,19.4,45.52,5,37,1.34,12.6,Moderate
544,Refrigerated,11,33.25,35.67,8,6.13,2.83,13.77,Low
452,Fresh,11,24.73,81.45,10,45.77,3.18,10.36,Moderate
452,Fresh,11,32.76,79.72,9,46.68,3.77,9.37,Low
531,Fresh,11,30.66,74.19,4,14.81,2.41,11.98,Low
566,Refrigerated,12,19.15,60.56,3,43.51,2.65,8.33,Moderate
585,Fresh,12,19.99,34.27,8,49.95,2.95,12.7,Moderate
597,Refrigerated,12,33.75,62.48,1,15.47,1.38,11.97,Low
465,Fresh,12,18.82,71.46,2,31.25,4.77,12.41,High
485,Fresh,12,29.93,72.06,1,31.43,1.3,8.91,Low
505,Refrigerated,12,32.5,49.02,1,7.79,3.83,8.9,Moderate
465,Fresh,12,17.41,91.79,3,29.17,3.89,13.14,Moderate
566,Fresh,12,30.42,4.06,2,13.75,3.17,11.72,Moderate
567,Refrigerated,12,27.34,19.8,7,49.84,1.43,10.25,Low
470,Refrigerated,12,34.01,9.56,4,18.25,4.27,12.92,Moderate
453,Refrigerated,12,26.79,41.17,9,48.4,1.2,13.07,Moderate
513,Refrigerated,12,31.8,64.7,6,6.68,2.57,11.79,Moderate
493,Fresh,12,18.14,50.67,9,7.82,3.08,12.94,Low
535,Refrigerated,12,34.74,51.71,5,24.99,4.64,14.99,Moderate
588,Refrigerated,12,21.19,72.87,9,21.91,4.86,12.49,Low
469,Refrigerated,12,25.74,67.76,7,49.86,1.82,11.51,High
515,Refrigerated,12,30.66,12.79,6,10.53,5,11.67,Moderate
473,Refrigerated,12,16.24,33.04,7,33.45,4.44,12.01,Low
479,Fresh,12,22.59,8.68,10,41.65,4.14,9.34,Moderate
597,Fresh,12,15.93,89.11,8,6.08,4.29,11.83,Moderate
538,Fresh,12,21.65,84.13,2,5,1.46,9.21,Low
553,Refrigerated,12,31.19,95.28,8,16.66,3.71,8.18,Moderate
543,Fresh,12,22.55,86.44,9,38.87,2.72,14.12,Low
574,Refrigerated,12,15.93,89.53,9,48.05,4.76,12.44,Moderate
580,Fresh,12,33.22,11.64,2,17.7,3.08,14.52,Low
490,Refrigerated,12,32.4,49.83,10,35.84,3.01,12.43,High
536,Refrigerated,12,16.08,91.84,4,49.6,3.98,14.96,High
493,Fresh,12,17.51,82.01,10,13.82,2.04,9,High
549,Refrigerated,12,28.45,87.62,4,8.24,3.83,11.87,High
547,Fresh,12,29.91,54.85,4,30.76,4.75,8.19,High
568,Fresh,12,19.36,97.48,9,44.73,1.5,13.68,Low
596,Fresh,12,27.46,85.61,2,38.13,2.76,8.44,High
498,Fresh,12,32.21,19.86,8,8.77,3.75,11,Low
588,Fresh,12,22.67,91.36,1,48.94,2.69,14.69,Moderate
595,Refrigerated,12,30.62,72.24,8,7.32,1.02,12.11,Low
578,Fresh,12,31.46,20.65,2,15.54,1.07,13.77,Low
586,Fresh,12,30.3,10.51,9,46.23,1.32,13.33,High
599,Fresh,12,22.83,85.45,4,41.04,1.15,13.38,Moderate
560,Fresh,12,26.86,12.13,2,23.81,1.95,10.3,Moderate
596,Fresh,12,32,80.94,1,36.12,3.77,8.36,Low
526,Fresh,12,29.47,73.21,6,25.72,2.04,11.4,Moderate
553,Refrigerated,12,21.7,11.08,6,39.48,1.73,14.49,High
536,Fresh,12,34.51,14.11,4,28.43,2.85,9.84,Low
572,Fresh,12,18.84,75.49,1,41.06,3.82,10.33,Moderate
524,Refrigerated,12,22.96,4.92,9,46.16,4.47,11.5,Low
546,Fresh,12,33.84,83.3,1,42.11,2.51,14.39,Moderate
450,Fresh,12,17.37,98.25,8,37.98,1.08,11.72,Moderate
588,Refrigerated,12,30.45,74.71,9,28.06,4.72,13.98,Low
548,Fresh,12,32.48,93.59,1,9.23,2.58,11.75,High
579,Refrigerated,12,27.05,98.6,7,46.21,2.86,8.55,High
468,Refrigerated,12,16.71,16.31,2,28.05,3.13,10.8,Moderate
584,Fresh,12,19.75,12.54,5,42.39,2.27,10.75,Moderate
450,Refrigerated,12,24.07,1.88,4,5.88,2.43,13.84,Low
457,Refrigerated,12,19.7,15.32,10,24.96,1.2,13.66,Low
503,Fresh,12,16.03,96.1,10,48.87,2.68,9.28,Moderate
501,Fresh,12,22.11,5.19,3,40.71,3.27,14.63,Low
500,Refrigerated,12,33.33,96.36,6,13.39,4.67,10.14,Moderate
472,Fresh,12,22.25,17.88,5,7.7,1.41,12.24,High
587,Refrigerated,12,32.12,72.74,9,28.43,2.42,13.61,Moderate
584,Fresh,12,32.26,86.77,2,30.62,4.27,11.08,Low
597,Fresh,12,33.86,68.6,1,16.82,3.46,13.26,Moderate
463,Fresh,12,31.21,41.53,7,44.91,4.76,10.42,Low
489,Refrigerated,12,23.16,76.15,3,5.13,2.87,8.66,High
536,Fresh,12,23.26,5.39,10,49.09,4.75,13.4,Low
461,Fresh,12,26.14,43.02,8,46.83,3.64,12.07,Low
535,Fresh,12,23.95,74.55,10,25.65,3.29,13.5,Low
469,Fresh,12,34.78,53.16,4,17.63,1.08,8.56,Moderate
459,Refrigerated,12,17.77,58.47,4,27.68,4.99,11.02,Low
453,Fresh,12,29.85,59.16,3,8.62,3.79,8.99,Moderate
580,Fresh,12,33.17,41.48,4,12.43,2.53,10.03,Low
464,Refrigerated,12,16.55,66.83,5,37.99,2.92,13.93,High
530,Fresh,12,24.2,4.52,10,20.18,1.7,12.9,High
502,Fresh,12,25.14,60.6,9,48.41,4.98,13,High
499,Fresh,12,24.94,31.93,5,9.17,3.88,11.05,High
483,Refrigerated,12,29.08,26.38,7,11.36,3.16,11.5,Low
488,Refrigerated,12,18.27,3.87,3,13.8,4.54,11.65,Low
499,Fresh,12,27.99,67.63,1,24.8,1.08,8.36,Moderate
598,Refrigerated,12,16.66,13.62,2,37.91,4.32,9.29,Low
481,Fresh,12,18.34,8.28,8,48.48,2.27,14.73,Low
583,Fresh,12,18.86,36.33,4,7.7,1.59,8.22,Low
457,Refrigerated,12,33.47,19.22,5,42.02,2.9,12.93,Low
499,Fresh,12,22.35,50.13,7,37.75,2.37,14.12,High
565,Refrigerated,12,24.46,56.91,9,34.16,3.56,10.78,High
552,Refrigerated,12,30.88,21.76,3,38.84,3.16,12.51,Low
497,Fresh,12,18.46,70.32,5,10.24,4.03,12.27,Moderate
476,Refrigerated,12,22.96,88.91,7,49.54,1.28,10.9,Low
572,Refrigerated,12,32.79,63.77,5,27.75,2.44,8.56,Low
535,Refrigerated,12,31.18,26.86,1,39.51,4.19,9.54,Moderate
516,Fresh,12,32.04,91.46,1,32.95,4.9,8.58,Moderate
482,Refrigerated,12,17.02,46.8,2,24.94,2.38,12.91,Moderate
525,Fresh,12,29.42,4.73,5,32.29,1.93,9.14,High
515,Fresh,12,31.43,48.23,2,36.86,2.74,13.55,Low
453,Fresh,12,31.46,59.65,7,27.35,3.94,14.83,Moderate
498,Fresh,12,16.97,96.91,3,21.49,1.74,11.02,Moderate
581,Fresh,12,19.7,61.64,6,32.79,1.36,14.41,High
473,Fresh,12,34.4,14.23,3,13.38,1.86,8.46,Moderate
452,Refrigerated,12,18.39,78.69,3,39.64,3.08,14.85,Moderate
492,Fresh,12,34.46,96.12,6,25.59,4.79,11.11,High
498,Fresh,12,24.61,83.22,3,8.76,3.73,11.47,High
459,Refrigerated,12,26.65,75.26,8,11.41,1.3,12.57,Moderate
508,Fresh,12,32.14,68.73,4,9.03,4.06,12.02,Moderate
510,Fresh,12,30.22,7.3,8,29.21,1.68,8.02,Moderate
490,Fresh,12,33.76,32.54,3,8.8,2,14.04,Low
567,Fresh,12,27.46,75.46,7,16.29,2.27,10.12,High
513,Refrigerated,12,20.36,68.64,9,37.94,2.94,9.14,Low
500,Refrigerated,12,27.58,66.09,4,45.7,3.63,13.57,Moderate
474,Fresh,12,15.62,90.73,1,35.11,3.52,14.48,Low
457,Refrigerated,12,26.59,97.18,4,8.61,1.97,10.09,High
551,Refrigerated,12,18.8,52.56,3,46.63,4.41,14.71,Low
507,Fresh,12,26.82,94.72,1,49.89,3.72,11.92,Low
512,Fresh,12,27.05,52.96,9,30.06,2.75,13.89,High
542,Refrigerated,12,23.01,75.18,2,8.6,1.22,12.95,Low
578,Fresh,12,25.77,4.74,4,33.61,1.23,8.12,Low
526,Refrigerated,12,17.93,59.05,9,29.49,3.07,8.93,Low
477,Fresh,12,29.72,24.66,9,12.84,3.95,9.21,High
457,Refrigerated,12,17.52,42.4,8,40.02,4.68,8.09,High
526,Refrigerated,12,17.65,98.97,1,42.37,4.71,10.83,Low
586,Fresh,12,33.16,49.53,4,37.31,3.85,14.03,Moderate
493,Fresh,12,19.35,76,1,31,2.93,9.7,Moderate
455,Fresh,12,33.39,90.55,9,49.64,4.2,11.35,Moderate
576,Fresh,12,20.19,31.56,6,18.43,1.65,9.28,Moderate
563,Refrigerated,12,28.48,43.52,6,14.18,1.81,13.54,Low
532,Fresh,12,27.93,1.59,6,25.8,4,8.92,Low
570,Refrigerated,12,16.11,92.9,2,24.14,2.25,14.67,Low
568,Fresh,12,24.32,85.82,1,42.07,3.85,8.43,Moderate
513,Fresh,12,33.9,39.78,6,48.43,2.03,10.77,Moderate
555,Fresh,12,20.71,10.47,2,41.1,2.38,12.87,Low
471,Fresh,12,29.94,83.41,6,40.64,1.75,9.78,Moderate
571,Fresh,12,18.14,14.63,5,27.97,1.14,12.84,Low
485,Fresh,12,33.03,7.37,1,38.18,3.05,9.46,High
463,Refrigerated,12,26.78,48.7,5,36.87,4.12,10.4,Low
550,Fresh,12,29.18,92.49,9,16.24,1.83,10.44,Low
519,Fresh,12,28.22,85.26,9,30.62,1.28,9.42,Moderate
597,Refrigerated,12,28.5,10.31,4,28.73,2.05,10.75,Moderate
515,Fresh,12,32.13,61.3,9,47.72,2.07,14.38,Moderate
599,Refrigerated,12,24.89,51.47,7,16.86,2.77,9.92,Low
469,Fresh,12,30.8,89.62,7,45.43,3,11.67,High
565,Fresh,12,26.69,63.2,4,46.14,3.84,14.4,Low
454,Fresh,12,29.41,46.94,2,32.9,4.36,14.7,Moderate
569,Refrigerated,12,27.49,12.89,6,40.65,3.1,13.08,Low
518,Refrigerated,12,33.41,58.06,4,39.49,4.78,14.24,Moderate
538,Fresh,12,28.96,56.31,4,35.36,1.75,8.32,Low
491,Refrigerated,12,33.48,32.36,3,19.79,2.89,12.84,Moderate
596,Fresh,12,16.82,96.36,8,21.79,4.81,14.37,High
575,Fresh,12,24.74,28.85,8,29.1,3.48,8.94,High
521,Refrigerated,12,23.54,58.95,10,45.66,3.63,9.84,Moderate
513,Fresh,12,33.15,26.83,8,24.56,4.05,12.63,Moderate
532,Fresh,12,21.88,29.91,5,9.05,2.75,9.66,Low
460,Refrigerated,12,20.53,19.28,9,9.93,4.5,13.25,High
495,Fresh,12,31.65,61.8,8,17.06,1.78,10.77,Low
500,Fresh,12,24.22,0.11,1,26.69,1.36,10.82,Moderate
528,Refrigerated,12,32.86,14.67,8,44.25,2.99,14.12,Low
510,Fresh,12,17.95,7.72,8,40.1,1.73,10.91,Low
578,Fresh,12,16.96,12.02,8,10.34,4.74,8.87,Moderate
544,Fresh,12,19.75,56.18,9,9.27,4.33,8.13,Low
556,Fresh,12,27.88,44.79,5,40.81,3.56,10.35,Low
489,Fresh,12,24.3,22.4,5,47.76,4.75,10.91,High
532,Fresh,12,20.07,60.64,2,5.74,1.68,9.25,Low
508,Refrigerated,12,24.9,65.2,6,42.32,4.18,9.67,Low
587,Refrigerated,12,15.07,1.55,6,41.43,4,11.76,Moderate
517,Refrigerated,12,31.09,57.22,8,42.67,2.56,9.56,High
512,Fresh,12,27.19,54.56,5,7.14,1.85,13.19,Moderate
525,Fresh,12,28.39,19.7,7,5.07,1.66,8.6,Moderate
552,Refrigerated,12,19.73,39.78,2,19.17,4.18,14.16,Low
480,Refrigerated,12,16.19,17.21,2,28.07,2.84,12.96,Low
481,Fresh,12,15.58,31.48,6,16.74,2.84,14.4,Moderate
532,Fresh,12,24.26,81.87,4,26.78,2.14,12.05,Moderate
578,Fresh,12,20.64,85.51,10,44.25,3.67,8.18,Low
572,Fresh,12,29.82,98.36,6,38.32,2.29,10.17,Moderate
518,Fresh,12,18.83,62.88,3,36.11,4.92,11.36,Low
